Question,Answer
هل شركة الشفاء الرقمية مرخصة؟,نعم، شركة الشفاء الرقمية مرخصة وتعمل وفق القوانين واللوائح الصحية في المملكة العربية السعودية.
ما هي الرؤية الرئيسية لشركة الشفاء الرقمية؟,رؤيتنا أن نكون الخيار الأول في العالم العربي للرعاية الصحية الرقمية، ونحدث فرقًا حقيقيًا في جودة حياة الأفراد.
ما هي رسالة الشفاء الرقمية؟,رسالتنا هي تقديم خدمات طبية موثوقة، آمنة، وسهلة الوصول لجميع أفراد المجتمع من خلال التكنولوجيا الحديثة.
ما هي القيم الأساسية للشركة؟,قيمنا الأساسية هي السرية والخصوصية، الجودة والاحترافية، التيسير والسرعة، والموثوقية والشفافية.
ما هي الخدمات الرئيسية التي تقدمونها؟,نقدم الاستشارات الطبية عبر الفيديو، مراجعة التقارير الطبية، خدمات الصيدلة والتوصيل المنزلي، حجز مواعيد مع أطباء متخصصين، خدمات الرعاية النفسية، وتحليل نتائج المختبر.
كيف يمكنني التواصل مع الدعم الفني؟,يمكنك التواصل مع الدعم الفني عبر الدردشة المباشرة، الهاتف (9200-000-000)، أو البريد الإلكتروني (support@alshifa-care.com).
ما هي طرق الدفع المتاحة؟,نقبل الدفع عبر البطاقات البنكية (فيزا / ماستركارد)، وتطبيقات Apple Pay و STC Pay.
هل يمكنني استرداد المبلغ المدفوع؟,نعم، يمكن طلب استرداد المبلغ خلال 24 ساعة من تقديم الخدمة وفق الشروط والأحكام.
هل الاستشارات تشمل وصف الأدوية؟,نعم، يمكن للطبيب وصف الأدوية إلكترونيًا ويمكن توصيلها عبر خدمة الصيدلية الإلكترونية.
هل بياناتي الشخصية آمنة ومحمية؟,بالتأكيد، نلتزم بأعلى معايير الأمان والخصوصية لحماية بياناتك، ويتم تشفير جميع الاتصالات والبيانات.
هل يمكنني استخدام الخدمة في حالات الطوارئ الطبية؟,لا، تُمنع استخدام الخدمة في حالات الطوارئ الطبية. يجب التوجه إلى أقرب مستشفى أو الاتصال بالرقم المخصص للطوارئ.
ما هي أوقات عمل الشركة؟,أيام العمل من الأحد إلى الخميس، من 9 صباحًا حتى 9 مساءً.
ما هي أيام العطل الرسمية للشركة؟,الجمعة والسبت، بالإضافة إلى الأعياد الرسمية المعلنة في المملكة العربية السعودية.
كيف يمكنني الاشتراك في الخدمة؟,قم بإنشاء حساب في موقعنا، اختر الباقة المناسبة، وأدخل معلومات الدفع.
كيف يمكنني إلغاء الاشتراك؟,"يمكنك تسجيل الدخول إلى حسابك والتوجه إلى ""إعدادات الحساب"" ثم ""إلغاء الاشتراك""، أو التواصل مع الدعم الفني."
ما هي مدة الاستشارة الواحدة عبر الفيديو؟,تختلف مدة الاستشارة حسب نوع الخدمة والطبيب، ولكنها تتراوح عادةً بين 15 إلى 30 دقيقة.
هل أحتاج إلى حجز موعد مسبق للاستشارة؟,نعم، يُفضل حجز موعد مسبق لضمان توفر الطبيب في الوقت الذي يناسبك، ولكن نوفر أيضًا خيارات للاستشارات الفورية.
هل يمكنني اختيار الطبيب الذي أستشيره؟,نعم، يمكنك تصفح ملفات الأطباء المتوفرين واختيار من يناسبك بناءً على تخصصهم وتقييماتهم.
هل الأطباء مؤهلون ومعتمدون؟,نعم، جميع الأطباء في منصتنا مؤهلون، مرخصون، ولديهم خبرة واسعة في مجالات تخصصهم.
ما نوع الأجهزة التي أحتاجها للاستشارة عبر الفيديو؟,تحتاج إلى جهاز كمبيوتر أو هاتف ذكي/جهاز لوحي متصل بالإنترنت وبه كاميرا وميكروفون.
هل يمكنني رفع صور أو ملفات للطبيب قبل الاستشارة؟,نعم، يمكنك تحميل التقارير الطبية، صور الأشعة، أو أي وثائق ذات صلة عبر المنصة قبل أو أثناء الاستشارة.
هل الصيدلية الإلكترونية توفر جميع أنواع الأدوية؟,تسعى صيدليتنا لتوفير مجموعة واسعة من الأدوية والمستلزمات الطبية، بما في ذلك الأدوية الموصوفة وغير الموصوفة.
ما هي المدة الزمنية لتوصيل الأدوية؟,تختلف مدة التوصيل حسب الموقع الجغرافي، ولكننا نسعى لتوصيل الأدوية في أقرب وقت ممكن.
هل تتوفر خدمة توصيل الأدوية في جميع مناطق المملكة؟,نعمل على توسيع نطاق تغطية خدمة التوصيل لتشمل معظم مناطق المملكة العربية السعودية.
هل يمكنني استلام الأدوية من الصيدلية بدلاً من التوصيل؟,حالياً، الخدمة الأساسية هي التوصيل المنزلي، ولكن يمكنك الاستفسار من فريق الدعم عن خيارات أخرى إن وجدت.
هل يمكنني الحصول على استشارة لمتابعة حالة مزمنة؟,نعم، نقدم خدمات متابعة للحالات المزمنة لضمان استمرارية الرعاية الصحية.
هل يمكنني حجز استشارة لأحد أفراد أسرتي؟,نعم، يمكنك حجز استشارة لأفراد عائلتك، مع ضرورة تقديم معلوماتهم الطبية الصحيحة.
هل تقدمون استشارات للأطفال؟,نعم، لدينا أطباء متخصصون في طب الأطفال لتقديم الاستشارات اللازمة.
هل تتوفر استشارات الرعاية النفسية لجميع الأعمار؟,نعم، نقدم استشارات نفسية لمختلف الفئات العمرية بما في ذلك الأطفال، المراهقين، والبالغين.
ما هي سياسة الخصوصية الخاصة بالبيانات الطبية؟,يتم جمع البيانات الشخصية فقط لتقديم الخدمة، ولا يتم مشاركتها مع أي طرف ثالث دون إذن مسبق، ويتم تشفير جميع الاتصالات والبيانات.
هل يمكنني طلب نسخة من سجلي الطبي عبر المنصة؟,نعم، يمكنك طلب الوصول إلى سجلك الطبي المحفوظ لدينا وفقًا لسياسة الخصوصية وشروط الاستخدام.
هل الخدمات متوفرة خارج المملكة العربية السعودية؟,حالياً، نركز على خدمة العملاء داخل المملكة العربية السعودية، ولكننا ندرس التوسع المستقبلي.
هل يمكنني تغيير موعد الاستشارة المحجوز؟,نعم، يمكنك تغيير موعد الاستشارة من خلال حسابك أو بالتواصل مع الدعم الفني، مع مراعاة سياسة الإلغاء والتعديل.
هل يمكن إلغاء الاستشارة واسترداد المبلغ؟,يمكن إلغاء الاستشارة وطلب استرداد المبلغ إذا تم الإلغاء خلال الفترة المحددة في شروط الخدمة.
هل أحتاج إلى دفع رسوم إضافية على الاستشارة؟,الرسوم موضحة ضمن تفاصيل الباقة أو الخدمة المختارة. قد تفرض رسوم إضافية لخدمات معينة يتم توضيحها مسبقاً.
هل توفرون خدمة عملاء باللغة الإنجليزية؟,نعم، يتوفر لدينا دعم عملاء يتحدث اللغة الإنجليزية بالإضافة إلى اللغة العربية.
ما هي الخطوات المتبعة عند الشعور بتحسن بعد الاستشارة؟,ننصح بمتابعة خطة العلاج الموصوفة، وفي حال الحاجة، يمكنك حجز استشارة متابعة مع نفس الطبيب.
هل يمكنني تقييم الطبيب بعد الاستشارة؟,نعم، نشجع المستخدمين على تقييم الأطباء بعد كل استشارة للمساهمة في تحسين جودة الخدمة.
هل يمكنني تقديم شكوى في حال عدم رضائي عن الخدمة؟,نعم، يمكنك تقديم شكوى عبر قنوات الدعم المتاحة، وسنتعامل معها بجدية واهتمام.
هل تتوفر باقات اشتراك شهرية أو سنوية؟,نعم، نوفر باقات اشتراك شهرية وسنوية لتلبية الاحتياجات المختلفة، مع مزايا وخصومات خاصة.
هل هناك فترة تجريبية مجانية للخدمات؟,حالياً لا توجد فترة تجريبية مجانية، ولكن قد نقدم عروضًا خاصة من وقت لآخر.
هل توفرون خدمة ترجمة فورية أثناء الاستشارة؟,لا نقدم خدمة ترجمة فورية حاليًا، ولكن يمكن اختيار أطباء يتحدثون لغات متعددة.
هل يتم تسجيل الاستشارات لأغراض المراجعة؟,يتم تسجيل بعض الاستشارات لأغراض ضمان الجودة والتدريب، مع الحفاظ على السرية التامة وبعد موافقتك الصريحة.
هل يمكن للطبيب طلب فحوصات مخبرية؟,نعم، يمكن للطبيب طلب فحوصات مخبرية وإرسال طلب التحويل إلكترونياً.
هل يمكنني تحميل نتائج الفحوصات الطبية لمراجعتها؟,نعم، يمكنك تحميل نتائج الفحوصات المخبرية والأشعة ليقوم الطبيب بمراجعتها وتقديم رأيه.
ما هي الإجراءات المتبعة في حال انقطاع الاتصال أثناء الاستشارة؟,في حال انقطاع الاتصال، سيحاول الطبيب أو فريق الدعم إعادة الاتصال بك لإكمال الاستشارة.
هل يمكنني تغيير كلمة المرور لحسابي؟,نعم، يمكنك تغيير كلمة المرور الخاصة بحسابك من خلال إعدادات الملف الشخصي.
ماذا أفعل إذا نسيت كلمة المرور الخاصة بي؟,"يمكنك استخدام خيار ""نسيت كلمة المرور"" على صفحة تسجيل الدخول لإعادة تعيينها."
هل أحتاج إلى تقديم هوية للتحقق من شخصيتي؟,قد يُطلب منك تقديم إثبات هوية عند التسجيل أو في حالات معينة لضمان سلامة بياناتك وتوافقها مع اللوائح.
هل يمكن للأطباء تقديم شهادات مرضية إلكترونية؟,نعم، في بعض الحالات التي تستدعي ذلك، يمكن للطبيب إصدار شهادة مرضية إلكترونية معتمدة.
هل خدمة الرعاية النفسية تشمل جلسات علاج سلوكي معرفي (CBT)؟,نعم، يقدم أخصائيونا النفسيون جلسات علاج سلوكي معرفي وتقنيات أخرى للعلاج النفسي.
هل يمكنني الحصول على وصفة طبية قابلة للتجديد؟,يعتمد ذلك على تقييم الطبيب ونوع الدواء، حيث يمكن إصدار وصفات قابلة للتجديد لبعض الحالات.
هل توفرون تقارير طبية شاملة بعد الاستشارة؟,نعم، يمكنك الحصول على ملخص للاستشارة يتضمن التشخيص، خطة العلاج، والأدوية الموصوفة.
هل هناك حدود لعدد الاستشارات التي يمكنني الحصول عليها؟,يعتمد ذلك على الباقة التي اشتركت بها. بعض الباقات توفر عددًا محدودًا، بينما تتيح أخرى استشارات غير محدودة.
هل يمكنني الحصول على رأي طبي ثانٍ؟,نعم، يمكنك حجز استشارة مع طبيب آخر للحصول على رأي طبي ثانٍ، وذلك ضمن الخدمات المتاحة.
هل تتوفر خدمات طب الأسنان عن بعد؟,حاليًا لا نقدم خدمات طب الأسنان عن بعد، ولكننا نسعى لتوسيع نطاق التخصصات مستقبلاً.
هل يمكنني استشارة طبيب أخصائي دون تحويل من طبيب عام؟,نعم، يمكنك حجز موعد مباشر مع الطبيب الأخصائي الذي تختاره.
هل يتم تتبع الأدوية بعد شحنها؟,نعم، نوفر خدمة تتبع الشحنات للأدوية لضمان وصولها بأمان وفي الوقت المحدد.
هل تتوفر خدمة الاستشارات الصوتية فقط بدون فيديو؟,نعم، بعض الأطباء قد يقدمون خيار الاستشارة الصوتية فقط، وذلك يعتمد على تفضيل الطبيب ونوع الحالة.
كيف يمكنني التأكد من كفاءة الأطباء؟,يتم اختيار الأطباء بعناية فائقة بناءً على مؤهلاتهم، خبرتهم، وتراخيصهم المهنية، ويتم تقييم أدائهم باستمرار.
هل يمكن للأطباء وصف أدوية نفسية؟,يمكن للأطباء النفسيين المرخصين وصف الأدوية النفسية إذا رأوا ضرورة لذلك، وفقًا للوائح المحلية.
ما هي ساعات استجابة الدعم الفني عبر البريد الإلكتروني؟,نهدف إلى الرد على جميع الاستفسارات عبر البريد الإلكتروني خلال 24 ساعة عمل.
هل يمكنني إلغاء موعد الصيدلية والتوصيل؟,نعم، يمكن إلغاء الطلب قبل عملية الشحن، يرجى التواصل مع الدعم الفني في أقرب وقت ممكن.
هل هناك رسوم خفية على الخدمات؟,لا، جميع الرسوم والتكاليف موضحة بشفافية تامة قبل إتمام عملية الدفع.
هل يمكنني الاحتفاظ بسجلي الطبي على جهازي الخاص؟,يمكنك تنزيل نسخة من ملخص الاستشارات والتقارير المتاحة لك على المنصة.
هل تتوافق المنصة مع متصفحات الإنترنت المختلفة؟,نعم، تم تصميم المنصة لتكون متوافقة مع معظم متصفحات الإنترنت الشائعة (كروم، فايرفوكس، سفاري، إيدج).
هل يمكنني استخدام الخدمة عبر تطبيق جوال؟,نعم، تتوفر خدمة الشفاء الرقمية عبر تطبيقات مخصصة للهواتف الذكية (iOS و Android).
هل تتوفر خدمة تذكير بالمواعيد؟,نعم، نقدم خدمة تذكير بالمواعيد عبر الرسائل النصية والبريد الإلكتروني لضمان عدم تفويت موعدك.
هل يمكنني تصفح مقالات طبية أو نصائح صحية؟,نعم، لدينا قسم للمقالات الصحية والنصائح الطبية الموثوقة على موقعنا الإلكتروني.
