Question,Answer
ما هي شركة الشفاء الرقمية؟,هي شركة رائدة ومتطورة في مجال الرعاية الصحية عن بُعد (Telehealth)، تأسست لتوفير رعاية طبية شاملة وعالية الجودة عبر الإنترنت.
ما هي رؤية الشركة؟,أن تكون الخيار الأول والموثوق به عالميًا في مجال الرعاية الصحية الرقمية، وأن تُحدِث فرقًا حقيقيًا وملموسًا في جودة حياة الأفراد والمجتمعات.
ما هي رسالة الشركة؟,تقديم خدمات طبية موثوقة، آمنة، وسهلة الوصول لجميع أفراد المجتمع، مع التركيز على الكفاءة المهنية والشفافية التامة.
ما هي القيم الأساسية التي تلتزم بها الشركة؟,السرية والخصوصية، الجودة والاحترافية، التيسير والسرعة، الموثوقية والشفافية، التعاطف والرعاية، والابتكار والتطوير المستمر.
هل بياناتي محفوظة وآمنة؟,نعم، تلتزم الشركة بأعلى معايير الأمان والخصوصية العالمية لحماية البيانات الشخصية والطبية، وتستخدم تقنيات التشفير المتقدمة (SSL/TLS).
ما هي المؤهلات التي يتمتع بها الأطباء في الشركة؟,جميع أطبائنا حاصلون على شهادات معتمدة ولديهم سنوات من الخبرة في تخصصاتهم، ويخضعون لعملية تدقيق صارمة لضمان أعلى مستويات الكفاءة والاحترافية.
ما هي الخدمات التي تقدمها الشركة؟,تشمل الخدمات الاستشارات الطبية عبر الفيديو، الكشف الجسدي في العيادة، مراجعة التقارير الطبية والتحاليل، خدمات الصيدلة والتوصيل المنزلي، حجز مواعيد مع أطباء متخصصين، وخدمات الرعاية النفسية والدعم الصحي. كما تقدم الشركة تحليل نتائج المختبر، نظام السجلات الطبية الإلكترونية الموحدة (EHR)، برامج الصحة الوقائية، وخدمات الطب عن بُعد للمؤسسات والشركات.
هل يمكن الحصول على استشارة طبية في حالات الطوارئ؟,لا، خدمات شركة الشفاء الرقمية مخصصة للحالات غير الطارئة والاستشارات الروتينية والمتابعة فقط. يجب التوجه فوراً إلى أقرب مستشفى أو الاتصال برقم الطوارئ في حالة وجود أي حالة طارئة.
ما هي اللغات التي يقدم بها الأطباء الاستشارات؟,يقدم أطباؤنا الاستشارات باللغة العربية بشكل أساسي، بالإضافة إلى إمكانية توفير استشارات بلغات أخرى مثل الإنجليزية حسب توفر الأطباء المتحدثين بهذه اللغات.
هل يمكنني اختيار الطبيب الذي أرغب في الاستشارة معه؟,نعم، يمكنك تصفح ملفات الأطباء المتوفرين، والاطلاع على تخصصاتهم، خبراتهم، وتقييمات المرضى الآخرين لاختيار الأنسب.
